datetime,open,high,low,close,volume
2025-10-01 07:00:00,1.17331,1.17425,1.17296,1.1736,0
2025-10-01 11:00:00,1.17361,1.17585,1.17303,1.17582,0
2025-10-01 15:00:00,1.17581,1.17786,1.1742,1.17492,0
2025-10-01 19:00:00,1.17498,1.17685,1.17159,1.1749,0
2025-10-01 23:00:00,1.17493,1.17629,1.17155,1.17227,0
2025-10-02 03:00:00,1.17229,1.17419,1.17216,1.17237,0
2025-10-02 07:00:00,1.17237,1.17373,1.17237,1.17299,0
2025-10-02 11:00:00,1.17297,1.17418,1.17237,1.17342,0
2025-10-02 15:00:00,1.17343,1.17567,1.17295,1.17537,0
2025-10-02 19:00:00,1.17536,1.17582,1.17344,1.17374,0
2025-10-02 23:00:00,1.17383,1.17437,1.16833,1.17147,0
2025-10-03 03:00:00,1.17149,1.17266,1.17123,1.17153,0
2025-10-03 07:00:00,1.17153,1.17288,1.17137,1.17242,0
2025-10-03 11:00:00,1.17243,1.17292,1.17163,1.17179,0
2025-10-03 15:00:00,1.1718,1.17446,1.17152,1.17402,0
2025-10-03 19:00:00,1.17397,1.17428,1.17281,1.17393,0
2025-10-03 23:00:00,1.17395,1.17586,1.17327,1.17397,0
2025-10-04 03:00:00,1.17397,1.17444,1.17267,1.17384,0
2025-10-04 07:00:00,1.17384,1.17423,1.17384,1.17423,0
2025-10-06 07:00:00,1.17243,1.1726,1.1711,1.17151,0
2025-10-06 11:00:00,1.17123,1.17307,1.17101,1.17237,0
2025-10-06 15:00:00,1.17243,1.17273,1.16624,1.16624,0
2025-10-06 19:00:00,1.16625,1.16792,1.16517,1.16752,0
2025-10-06 23:00:00,1.16754,1.17206,1.1673,1.17064,0
2025-10-07 03:00:00,1.17071,1.17178,1.17031,1.17107,0
2025-10-07 07:00:00,1.17105,1.17206,1.17084,1.17123,0
2025-10-07 11:00:00,1.17092,1.1711,1.16966,1.17069,0
2025-10-07 15:00:00,1.17031,1.17082,1.16702,1.16764,0
2025-10-07 19:00:00,1.16761,1.16826,1.1654,1.16625,0
2025-10-07 23:00:00,1.16621,1.16798,1.16542,1.16731,0
2025-10-08 03:00:00,1.16733,1.16811,1.16477,1.16502,0
2025-10-08 07:00:00,1.16503,1.16645,1.16489,1.16564,0
2025-10-08 11:00:00,1.16529,1.16529,1.1617,1.16238,0
2025-10-08 15:00:00,1.16238,1.1634,1.16071,1.1631,0
2025-10-08 19:00:00,1.1631,1.16361,1.16059,1.16261,0
2025-10-08 23:00:00,1.16268,1.16445,1.1603,1.16059,0
2025-10-09 03:00:00,1.16063,1.16282,1.15985,1.1628,0
2025-10-09 07:00:00,1.16278,1.16374,1.16234,1.16333,0
2025-10-09 11:00:00,1.16289,1.16475,1.1628,1.16448,0
2025-10-09 15:00:00,1.16448,1.1648,1.16065,1.1611,0
